Feature,SHAP Importance
Year-1 Office Visits,9.647941093290955
Diabetes,6.05199106055434
Joint Pain,1.5227424808064995
Sex,0.9326888832396779
Hispanic Ethnicity,0.8958057377281472
Region,0.6325560395445563
Asthma,0.5662655862129753
Age,0.556932696032606
Insurance Coverage,0.36860341896378335
Self-Reported Physical Health,0.3634405061777537
Education Level,0.3566733793520783
Race,0.3487909654414934
Arthritis,0.24094540207970608
Coronary Heart Disease,0.19044777212349115
Hypertension,0.12091956624673293
Poverty Category,0.0939050426762044
Smoking Status,0.08847127245009016
Stroke,0.087487212202045
Heart Attack,0.0727516861475182
Employment Status,0.05984054994002276
Self-Reported Mental Health,0.043387300986824855
Emphysema,0.043383949111165124
High Cholesterol,0.02813044485512973
